epoch,gait_events_binary_accuracy,gait_events_categorical_accuracy,gait_events_loss,gait_sequences_binary_accuracy,gait_sequences_categorical_accuracy,gait_sequences_loss,loss,lr,val_gait_events_binary_accuracy,val_gait_events_categorical_accuracy,val_gait_events_loss,val_gait_sequences_binary_accuracy,val_gait_sequences_categorical_accuracy,val_gait_sequences_loss,val_loss
0,0.9954387545585632,0.9891560673713684,0.006165654398500919,0.9482362866401672,1.0,0.006097162142395973,0.01226282399147749,0.001,0.9977946877479553,0.9944868087768555,0.003469242015853524,0.9664780497550964,1.0,0.00806482508778572,0.011534072458744049
1,0.997225284576416,0.9930625557899475,0.0035762861371040344,0.9555052518844604,1.0,0.005274240858852863,0.00885054562240839,0.001,0.9977455735206604,0.9943649172782898,0.0033258129842579365,0.9665557742118835,1.0,0.008772025816142559,0.012097809463739395
2,0.9972702860832214,0.9931764602661133,0.0034527303650975227,0.9575503468513489,1.0,0.005086115095764399,0.008538851514458656,0.001,0.9977545142173767,0.9943873286247253,0.003369099460542202,0.9669995903968811,1.0,0.008419188670814037,0.011788283474743366
3,0.9972965717315674,0.9932432770729065,0.003382755210623145,0.9588082432746887,1.0,0.004948054905980825,0.008330808021128178,0.001,0.997717022895813,0.9942903518676758,0.0033378649968653917,0.9664369821548462,1.0,0.009089959785342216,0.012427838519215584
4,0.9973137974739075,0.9932817816734314,0.0033405995927751064,0.9594190120697021,1.0,0.004879431799054146,0.008220029063522816,0.001,0.9977797269821167,0.9944499731063843,0.0033139472361654043,0.9669446349143982,1.0,0.007318186108022928,0.010632128454744816
5,0.9973352551460266,0.9933376908302307,0.003304397687315941,0.9597051739692688,1.0,0.0048529235646128654,0.008157326839864254,0.001,0.9977110624313354,0.994277834892273,0.0032968642190098763,0.9674015045166016,1.0,0.008314617909491062,0.011611530557274818
6,0.9973466396331787,0.9933656454086304,0.0032747522927820683,0.9599679708480835,1.0,0.004760275594890118,0.008035031147301197,0.001,0.9977614879608154,0.9944061636924744,0.003327055834233761,0.9655523300170898,1.0,0.009320031851530075,0.012647069990634918
7,0.9973546266555786,0.9933842420578003,0.003257234115153551,0.9601101279258728,1.0,0.0047770896926522255,0.008034344762563705,0.001,0.9977530241012573,0.9943827390670776,0.003313621738925576,0.9675036668777466,1.0,0.0073386128060519695,0.010652228258550167
8,0.9973556995391846,0.9933914542198181,0.0032353827264159918,0.9603953957557678,1.0,0.004724506288766861,0.007959885522723198,0.001,0.997704803943634,0.9942617416381836,0.003309189574792981,0.9678797721862793,1.0,0.007846320979297161,0.011155509389936924
9,0.997358500957489,0.9933984875679016,0.003222046187147498,0.9605680108070374,1.0,0.004728611558675766,0.007950646802783012,0.001,0.9976338744163513,0.9940844178199768,0.0033280544448643923,0.9676996469497681,1.0,0.007530820090323687,0.010858866386115551
10,0.9973967671394348,0.9934881329536438,0.003175914054736495,0.9616907238960266,1.0,0.0045930203050374985,0.007768938317894936,0.000100000005,0.9977155923843384,0.9942894577980042,0.0032751152757555246,0.9682220220565796,1.0,0.00788890477269888,0.011164018884301186
11,0.9973981380462646,0.9934932589530945,0.0031660606618970633,0.9618057608604431,1.0,0.004590177442878485,0.007756230887025595,0.000100000005,0.9977636933326721,0.9944074749946594,0.0033238232135772705,0.9678778648376465,1.0,0.008013762533664703,0.011337630450725555
12,0.9973894953727722,0.9934744238853455,0.0031657489016652107,0.9617529511451721,1.0,0.004579811356961727,0.0077455658465623856,0.000100000005,0.9976951479911804,0.9942359924316406,0.003291514702141285,0.9681610465049744,1.0,0.0077421655878424644,0.011033721268177032
13,0.9973940849304199,0.9934845566749573,0.0031644594855606556,0.9615150094032288,1.0,0.004612020682543516,0.007776486221700907,0.000100000005,0.9977849125862122,0.994460940361023,0.0033108911011368036,0.9678541421890259,1.0,0.008078803308308125,0.011389733292162418
14,0.9973979592323303,0.9934910535812378,0.003161706030368805,0.9618415832519531,1.0,0.004567116964608431,0.007728839758783579,0.000100000005,0.9976816773414612,0.9942027926445007,0.003299830947071314,0.9680701494216919,1.0,0.008010150864720345,0.01131000742316246
15,0.9974061250686646,0.9935116171836853,0.003154165344312787,0.9617736339569092,1.0,0.00454324996098876,0.007697433233261108,1.0000001e-05,0.9976989030838013,0.9942471981048584,0.003294572001323104,0.9681480526924133,1.0,0.007863787934184074,0.011158373206853867
16,0.9974011182785034,0.9935026168823242,0.0031550941057503223,0.9617888927459717,1.0,0.004589770920574665,0.007744872011244297,1.0000001e-05,0.9977150559425354,0.9942868947982788,0.003300918499007821,0.9680821895599365,1.0,0.007756941020488739,0.011057894676923752
17,0.9974011182785034,0.9935058355331421,0.003154429839923978,0.9618842601776123,1.0,0.004556408617645502,0.007710861042141914,1.0000001e-05,0.9976986646652222,0.994247555732727,0.003303674515336752,0.9680713415145874,1.0,0.007884209975600243,0.01118791475892067
18,0.9973995089530945,0.9935008883476257,0.003154630307108164,0.9618066549301147,1.0,0.00455933203920722,0.007713956758379936,1.0000001e-05,0.9977050423622131,0.9942617416381836,0.0033140925224870443,0.9679915308952332,1.0,0.007852730341255665,0.011166826821863651
19,0.9973995089530945,0.9935001730918884,0.0031572608277201653,0.9616020917892456,1.0,0.004559109453111887,0.0077163781970739365,1.0000001e-05,0.9977219700813293,0.9943059086799622,0.0033106112387031317,0.9679114818572998,1.0,0.008094877004623413,0.011405516415834427
20,0.9974018931388855,0.9935035109519958,0.0031531397253274918,0.9618730545043945,1.0,0.0045247990638017654,0.007677954155951738,1e-05,0.9977306127548218,0.9943259358406067,0.0033301389776170254,0.967915415763855,1.0,0.007905487902462482,0.011235637590289116
21,0.9974014759063721,0.9935023784637451,0.003152234712615609,0.961702287197113,1.0,0.004557850770652294,0.0077100759372115135,1e-05,0.9977142214775085,0.9942837953567505,0.003309971187263727,0.9679528474807739,1.0,0.00798100233078003,0.011290987953543663
22,0.9974001049995422,0.9934970736503601,0.0031548941042274237,0.9618648290634155,1.0,0.0045564197935163975,0.007711323909461498,1e-05,0.9977003931999207,0.9942514300346375,0.003320000832900405,0.9679348468780518,1.0,0.007928038947284222,0.01124807633459568
23,0.9973962903022766,0.9934936165809631,0.003154490143060684,0.9616842865943909,1.0,0.004589173011481762,0.00774366594851017,1e-05,0.9977213144302368,0.9943030476570129,0.003299496602267027,0.9680134654045105,1.0,0.008003669790923595,0.011303212493658066
24,0.9974100589752197,0.9935182929039001,0.003154962556436658,0.9617422223091125,1.0,0.004561013542115688,0.007715984713286161,1e-05,0.9977166652679443,0.9942924380302429,0.003298993455246091,0.967973530292511,1.0,0.007953821681439877,0.01125285029411316
25,0.9974012970924377,0.9934992790222168,0.0031541376374661922,0.9618322253227234,1.0,0.004556847736239433,0.007710984442383051,1e-05,0.9977015852928162,0.9942557215690613,0.003290795721113682,0.9680327773094177,1.0,0.007871415466070175,0.011162261478602886
26,0.9973993301391602,0.9935005307197571,0.0031530496198683977,0.9619446396827698,1.0,0.0045558614656329155,0.007708909455686808,1e-05,0.9976723194122314,0.9941808581352234,0.00330744800157845,0.9680054187774658,1.0,0.007800497114658356,0.011107973754405975
27,0.99740070104599,0.9935047626495361,0.003150769043713808,0.9618547558784485,1.0,0.004574149381369352,0.007724887691438198,1e-05,0.9977073669433594,0.9942675232887268,0.0032876410987228155,0.9681441783905029,1.0,0.007826588116586208,0.011114262975752354
28,0.9973993301391602,0.9934970736503601,0.0031536268070340157,0.9616043567657471,1.0,0.004536421038210392,0.007690064143389463,1e-05,0.9977144598960876,0.994286060333252,0.0032988658640533686,0.9680728912353516,1.0,0.007892132736742496,0.011190996505320072
29,0.9973982572555542,0.993493378162384,0.003154842648655176,0.961719274520874,1.0,0.00457698805257678,0.007731813471764326,1e-05,0.9977240562438965,0.9943127632141113,0.003296660026535392,0.9679826498031616,1.0,0.007883980870246887,0.011180691421031952
30,0.997397780418396,0.9934983253479004,0.003153137629851699,0.9618480801582336,1.0,0.0045631458051502705,0.007716265041381121,1e-05,0.9977236390113831,0.9943100810050964,0.003289138665422797,0.9680644869804382,1.0,0.007954833097755909,0.011244012042880058
31,0.997398316860199,0.9934930801391602,0.003152906894683838,0.9618844985961914,1.0,0.004515545908361673,0.007668439764529467,1e-05,0.9977318644523621,0.9943277835845947,0.0032911954913288355,0.9679529666900635,1.0,0.00806528888642788,0.01135652419179678
32,0.9973979592323303,0.9934924244880676,0.003150495933368802,0.9617339372634888,1.0,0.0045249140821397305,0.007675415836274624,1e-05,0.9977116584777832,0.9942771792411804,0.0033035301603376865,0.9680446982383728,1.0,0.00781357754021883,0.01111714169383049
33,0.997403085231781,0.9935013651847839,0.003150356002151966,0.9619404077529907,1.0,0.004562712274491787,0.007713067810982466,1e-05,0.997706413269043,0.994264543056488,0.003292409237474203,0.9680514335632324,1.0,0.007789962459355593,0.011082409881055355
34,0.9973985552787781,0.9935019016265869,0.003153048222884536,0.9617688655853271,1.0,0.004575689323246479,0.007728728000074625,1e-05,0.9976916909217834,0.9942293167114258,0.0033005373552441597,0.9680196642875671,1.0,0.007861848920583725,0.011162425391376019
35,0.9974036812782288,0.9935064911842346,0.003153197467327118,0.9617586135864258,1.0,0.004562760703265667,0.007715944666415453,1e-05,0.9977025985717773,0.9942563772201538,0.0033014491200447083,0.9680158495903015,1.0,0.00781348068267107,0.011114973574876785
36,0.9974027872085571,0.9935075640678406,0.0031515927985310555,0.9617226123809814,1.0,0.004569767042994499,0.007721369620412588,1e-05,0.9977245330810547,0.9943106770515442,0.0032900564838200808,0.9679672122001648,1.0,0.008054646663367748,0.011344736441969872
37,0.997399628162384,0.9935019016265869,0.003152718534693122,0.9619067907333374,1.0,0.004550314974039793,0.007703042589128017,1e-05,0.997736394405365,0.9943405389785767,0.003304436570033431,0.9679526090621948,1.0,0.007925930432975292,0.011230401694774628
38,0.9974002838134766,0.993497908115387,0.0031518021132797003,0.9619330763816833,1.0,0.004542223177850246,0.007694023195654154,1e-05,0.9977114200592041,0.994278073310852,0.0032928497530519962,0.9680132269859314,1.0,0.007955875247716904,0.011248779483139515
39,0.9974026679992676,0.9935066103935242,0.00315114576369524,0.9618179202079773,1.0,0.004553424194455147,0.007704578805714846,1e-05,0.9977222084999084,0.9943061470985413,0.003310546977445483,0.9679195880889893,1.0,0.007978147827088833,0.01128871738910675
40,0.9973976612091064,0.9934912323951721,0.0031515187583863735,0.9618704319000244,1.0,0.004548444878309965,0.007699972949922085,1e-05,0.9977176785469055,0.9942945837974548,0.0033035269007086754,0.9679114818572998,1.0,0.008084301836788654,0.011387884616851807
41,0.997402012348175,0.9935024380683899,0.0031489001121371984,0.9618059992790222,1.0,0.004555447492748499,0.00770434457808733,1e-05,0.9977083802223206,0.9942715764045715,0.003305288730189204,0.967980146408081,1.0,0.007781451102346182,0.011086751706898212
42,0.9973985552787781,0.993497371673584,0.0031515585724264383,0.9617621898651123,1.0,0.004549942445009947,0.007701501250267029,1e-05,0.9977150559425354,0.9942889213562012,0.003305974882096052,0.9679353833198547,1.0,0.00795765407383442,0.011263691820204258
43,0.9974011182785034,0.9934996366500854,0.0031504512298852205,0.9619148969650269,1.0,0.004592719953507185,0.0077431658282876015,1e-05,0.9977337121963501,0.9943345785140991,0.003304021432995796,0.9679518938064575,1.0,0.007964538410305977,0.01126859150826931
44,0.997398853302002,0.9934932589530945,0.003151870332658291,0.9615065455436707,1.0,0.004562530666589737,0.007714408449828625,1e-05,0.9977117776870728,0.9942778944969177,0.0033052735961973667,0.9679147601127625,1.0,0.00789367314428091,0.011198977008461952
45,0.9974004030227661,0.9935010075569153,0.0031531783752143383,0.9619445204734802,1.0,0.004569173324853182,0.0077223582193255424,1e-05,0.9977118968963623,0.994279682636261,0.003311775391921401,0.9679034352302551,1.0,0.00796964205801487,0.011281445622444153
46,0.9974002242088318,0.993503212928772,0.003148015821352601,0.96195387840271,1.0,0.004549004137516022,0.0076970187947154045,1e-05,0.9977211952209473,0.9943027496337891,0.0033017906825989485,0.9679784178733826,1.0,0.007926755584776402,0.011228572577238083
47,0.9974028468132019,0.9935059547424316,0.0031513983849436045,0.9618695378303528,1.0,0.00456008967012167,0.00771149480715394,1e-05,0.9977129101753235,0.994282066822052,0.0032981098629534245,0.9679723978042603,1.0,0.007909437641501427,0.011207587085664272
48,0.9974040389060974,0.9935073256492615,0.0031501632183790207,0.961913526058197,1.0,0.004537159577012062,0.007687313016504049,1e-05,0.9977150559425354,0.9942858219146729,0.0032864732202142477,0.9680824875831604,1.0,0.0078659662976861,0.01115243136882782
49,0.9974024891853333,0.9935041666030884,0.003147832117974758,0.9618020057678223,1.0,0.004520646762102842,0.0076684788800776005,1e-05,0.9977116584777832,0.9942793250083923,0.0033067245967686176,0.9679845571517944,1.0,0.007922745309770107,0.011229525320231915
